N°|Nº Expediente|Número de Decreto|Especialista|Contenido|RUC|Razon Social|Fecha de Creación|Hora de Creación|Fecha del Decreto|Fecha De Aprobacion|Hora De Aprobacion|Estado|Ver Decreto|
1529|11166-2023-TCE|534603|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20108629909|Entidad:SEGURO SOCIAL DE SALUD Impugnate:CARDIO PERFUSION E.I.R.LTDA|16/01/2024|19:54:02|16/01/2024|16/01/2024|19:55:13|APROBADO|534603 Ver...|
1530|11176-2023-TCE|534604|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20563794101|Entidad:SEGURO SOCIAL DE SALUD Impugnate:ENDOMED TECNOLOGHIES S.A.C.|16/01/2024|20:03:56|16/01/2024|16/01/2024|20:05:26|APROBADO|534604 Ver...|
1531|06434-2022-TCE|534605|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20556512303POSTOR:20601519624|Entidad:UNIDAD EJECUTORA 008:PROYECTOS ESPECIALES DEL PLIEGO 003 - MINISTERIO DE CULTURA POSTOR:NEFASA S.A.C.|16/01/2024|20:21:44|16/01/2024|16/01/2024|20:22:03|APROBADO|534605 Ver...|
1531|06434-2022-TCE|534605|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20556512303POSTOR:20601519624|Entidad:UNIDAD EJECUTORA 008:PROYECTOS ESPECIALES DEL PLIEGO 003 - MINISTERIO DE CULTURA POSTOR:NEFASA S.A.C.|16/01/2024|20:21:44|16/01/2024|16/01/2024|20:22:03|APROBADO|534605 Ver...|
1532|06434-2022-TCE|534606|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20556512303POSTOR:20601519624|Entidad:UNIDAD EJECUTORA 008:PROYECTOS ESPECIALES DEL PLIEGO 003 - MINISTERIO DE CULTURA POSTOR:NEFASA S.A.C.|16/01/2024|20:21:59|16/01/2024|16/01/2024|20:22:06|APROBADO|534606 Ver...|
1533|00043-2023-TCE|534607|Edgard Enrique Cabezas Davila|Notificación a Ministerio Público|Entidad:20509645150POSTOR:20448300600|Entidad:MTC - AUTORIDAD PORTUARIA NACIONAL POSTOR:EMPRESA DE VIGILANCIA PIRAMIDE & EMCH SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|16/01/2024|20:33:09|16/01/2024|16/01/2024|20:33:13|APROBADO|534607 Ver...|
1534|06625-2022-TCE|534608|Edgard Enrique Cabezas Davila|Notificación a Mesa de Partes-Inicio de Procedimiento Sancionador|Entidad:20164503080POSTOR:20517491111,20608000705|Entidad:FONDO METROPOLITANO DE INVERSIONES - INVERMET POSTOR:GRASS INGENIEROS S.A.C.,MARCHELO INGENIERIA E.I.R.L.|16/01/2024|20:39:08|16/01/2024|16/01/2024|20:39:26|APROBADO|534608 Ver...|
1535|01838-2022-TCE|534609|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20202169300POSTOR:20511037001|Entidad:MUNICIPALIDAD DISTRITAL DE QUICACHA POSTOR:GRUPO SANTA FE SOCIEDAD ANONIMA CERRADA - GRUPO SANTA FE S.A.C.|16/01/2024|20:46:18|16/01/2024|16/01/2024|20:46:22|APROBADO|534609 Ver...|
1536|01051-2019-TCE|534610|Edgard Enrique Cabezas Davila|Notificación a Ministerio Público|Entidad:20369027957POSTOR:10165196568,20480489196,20561400424|Entidad:GOBIERNO REGIONAL DE CAJAMARCA-TRANSPORTES POSTOR:PUICAN CARREÑO MANUEL HUGO,CONSTRUCTORA D.R.V. INGENIEROS S.R.L.,R & G INGENIERIA Y CONSTRUCCION EIRL|16/01/2024|20:50:44|16/01/2024|16/01/2024|20:50:48|APROBADO|534610 Ver...|
1537|03659-2019-TCE|534611|Edgard Enrique Cabezas Davila|Notificación Resolución - Denunciante|Entidad:20550310539POSTOR:20533719903|Entidad:CORTE SUPERIOR DE JUSTICIA DEL CALLAO POSTOR:ESTRATEGIA INTEGRAL & CONSULTORES S.R.L.|16/01/2024|21:02:24|16/01/2024|16/01/2024|21:04:43|APROBADO|534611 Ver...|
1538|03659-2019-TCE|534612|Edgard Enrique Cabezas Davila|Notificación a Ministerio Público|Entidad:20550310539POSTOR:20533719903|Entidad:CORTE SUPERIOR DE JUSTICIA DEL CALLAO POSTOR:ESTRATEGIA INTEGRAL & CONSULTORES S.R.L.|16/01/2024|21:04:37|16/01/2024|16/01/2024|21:04:47|APROBADO|534612 Ver...|
1539|08159-2022-TCE|534613|Edgard Enrique Cabezas Davila|Notificación a Ministerio Público|Entidad:20131369477POSTOR:20543817512|Entidad:INSTITUTO TECNOLOGICO DE LA PRODUCCION POSTOR:TRANSPORTES CAJITAS CARGO E.I.R.L.|16/01/2024|21:12:45|16/01/2024|16/01/2024|21:12:49|APROBADO|534613 Ver...|
1540|09700-2022-TCE|534614|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20317337150POSTOR:10250193616|Entidad:MUNICIPALIDAD DISTRITAL DE PICHARI POSTOR:CANDIA QUINTANILLA TEOFILA|16/01/2024|21:19:50|16/01/2024|16/01/2024|21:20:30|APROBADO|534614 Ver...|
1541|09700-2022-TCE|534615|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20317337150POSTOR:10250193616|Entidad:MUNICIPALIDAD DISTRITAL DE PICHARI POSTOR:CANDIA QUINTANILLA TEOFILA|16/01/2024|21:20:07|16/01/2024|16/01/2024|21:20:34|APROBADO|534615 Ver...|
1542|09700-2022-TCE|534616|Edgard Enrique Cabezas Davila|Notificación a Oficinas OSCE|Entidad:20317337150POSTOR:10250193616|Entidad:MUNICIPALIDAD DISTRITAL DE PICHARI POSTOR:CANDIA QUINTANILLA TEOFILA|16/01/2024|21:20:26|16/01/2024|16/01/2024|21:20:40|APROBADO|534616 Ver...|
1543|01326-2020-TCE|534617|Edgard Enrique Cabezas Davila|Notificación al Titular de la Entidad|Entidad:20479569861POSTOR:20392307045,20600263375,20601832811|Entidad:GOBIERNO REGIONAL AMAZONAS POSTOR:CONSTRUCTORA MARAÑON SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,CONSTRUCTORA R&R PERU CONSULTORES EIRL,MR INGENIERIA Y CONSTRUCCIONES E.I.R.L.|16/01/2024|21:32:57|16/01/2024|16/01/2024|21:33:54|APROBADO|534617 Ver...|
1544|01326-2020-TCE|534618|Edgard Enrique Cabezas Davila|Notificación al Organo de Control Institucional|Entidad:20479569861POSTOR:20392307045,20600263375,20601832811|Entidad:GOBIERNO REGIONAL AMAZONAS POSTOR:CONSTRUCTORA MARAÑON SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,CONSTRUCTORA R&R PERU CONSULTORES EIRL,MR INGENIERIA Y CONSTRUCCIONES E.I.R.L.|16/01/2024|21:33:51|16/01/2024|16/01/2024|21:33:58|APROBADO|534618 Ver...|
1545|04493-2019-TCE|534619|Edgard Enrique Cabezas Davila|Notificación a Ministerio Público|Entidad:20178862074POSTOR:20481886059|Entidad:MUNICIPALIDAD PROVINCIAL DE CHEPEN POSTOR:GR INGENIEROS SOCIEDAD ANONIMA CERRADA|16/01/2024|21:43:27|16/01/2024|16/01/2024|21:43:31|APROBADO|534619 Ver...|
1546|11167-2023-TCE|534620|Edgard Enrique Cabezas Davila|Resolución|Entidad:20131257750Impugnate:20108629909|Entidad:SEGURO SOCIAL DE SALUD Impugnate:CARDIO PERFUSION E.I.R.LTDA|16/01/2024|21:51:13|16/01/2024|16/01/2024|21:52:19|APROBADO|534620 Ver...|
1547|02973-2022-TCE|534621|Edgard Enrique Cabezas Davila|Resolución|Entidad:20159981216POSTOR:20566512093|Entidad:PODER JUDICIAL POSTOR:MACRO POWER S.A.C.|16/01/2024|21:58:05|16/01/2024|16/01/2024|21:58:58|APROBADO|534621 Ver...|
1548|11215-2023-TCE|534622|Diego Martin Romero Ludena|Resolución|Entidad:20141897935Impugnate:20481456712|Entidad:MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO Impugnate:GENESIS CONTRATISTAS GENERALES S.A.C.|16/01/2024|23:52:51|16/01/2024|16/01/2024|23:53:34|APROBADO|534622 Ver...|
1549|02164-2021-TCE|534623|Karina Patricia Asencios Arenas|Sobrecártese|Entidad:20291973851POSTOR:10094465368|Entidad:OFICINA NACIONAL DE PROCESOS ELECTORALES POSTOR:SALCEDO PUMA CLARET RAUL|17/01/2024|07:58:24|17/01/2024|17/01/2024|08:48:49|APROBADO|534623 Ver...|
1550|08492-2022-TCE|534624|Luciana Beatriz Huilca Medina|Sobrecártese|Entidad:20170040695POSTOR:10460640755|Entidad:MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE POSTOR:MUJICA HUACCHA MIGUEL JOSSIMAR|17/01/2024|09:09:28|17/01/2024|18/01/2024|11:29:18|APROBADO|534624 Ver...|
1551|08514-2022-TCE|534625|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20170040695POSTOR:10460640755|Entidad:MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE POSTOR:MUJICA HUACCHA MIGUEL JOSSIMAR|17/01/2024|09:20:25|17/01/2024|17/01/2024|09:49:39|APROBADO|534625 Ver...|
1552|07490-2022-TCE|534626|Zelly Janisse Garcia Ramirez|Sobrecártese|Entidad:20103030791POSTOR:20600601467,20602336876|Entidad:EMPRESA ACTIVOS MINEROS SAC POSTOR:CONSORCIO ZAVA: Cozaqui Ingenieros S.A.C,CONSORCIO ZAVA: ZAPATA & ZULOETA E.I.R.L.|17/01/2024|09:22:00|17/01/2024|17/01/2024|10:36:56|APROBADO|534626 Ver...|
1553|08484-2022-TCE|534627|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20170040695POSTOR:10460640755|Entidad:MUNICIPALIDAD DISTRITAL DE JEQUETEPEQUE POSTOR:MUJICA HUACCHA MIGUEL JOSSIMAR|17/01/2024|09:22:21|17/01/2024|17/01/2024|09:44:33|APROBADO|534627 Ver...|
1554|00180-2024-TCE|534628|Lita Tumi Carpio|Admitido corrase traslado|Entidad:20131257750Impugnate:20505110651|Entidad:SEGURO SOCIAL DE SALUD Impugnate:W.P. BIOMED SOCIEDAD ANONIMA|17/01/2024|09:23:45|17/01/2024|17/01/2024|16:16:03|APROBADO|534628 Ver...|
1555|00413-2019-TCE|534629|Karmen Giuliana Bustamante Barreto|Tómese conocimiento|Entidad:20131257750POSTOR:20351771918|Entidad:SEGURO SOCIAL DE SALUD ? RED ASISTENCIAL UCAYALI POSTOR:RESTAURANT KITTY E.I.R.L.|17/01/2024|09:23:50|17/01/2024|17/01/2024|10:31:03|APROBADO|534629 Ver...|
1556|00740-2020-TCE|534630|Zelly Janisse Garcia Ramirez|Sobrecártese|Entidad:20105266988POSTOR:10028352129,20399231907,20525956572,20525980287|Entidad:MUNICIPALIDAD PROVINCIAL DE MORROPON - CHULUCANAS POSTOR:CHAVEZ SANCHEZ JUAN ESTUARDO,CONSTRUCTORA UNICA S.A.C.,N & N S.A.C,SANDRA INGENIERIA Y CONSTRUCCION EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|17/01/2024|09:26:21|17/01/2024|17/01/2024|11:35:56|APROBADO|534630 Ver...|
1557|12265-2023-TCE|534631|Lita Tumi Carpio|Remisión a sala|Entidad:20131257750Impugnate:20100061474|Entidad:SEGURO SOCIAL DE SALUD Impugnate:REPRESENTACIONES DECO S.A.C|17/01/2024|09:27:29|17/01/2024|17/01/2024|16:13:03|APROBADO|534631 Ver...|
1558|12265-2023-TCE|534632|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131257750Impugnate:20100061474|Entidad:SEGURO SOCIAL DE SALUD Impugnate:REPRESENTACIONES DECO S.A.C|17/01/2024|09:33:59|17/01/2024|17/01/2024|16:12:57|APROBADO|534632 Ver...|
1559|05068-2019-TCE|534633|Zelly Janisse Garcia Ramirez|Sobrecártese|Entidad:20600575806POSTOR:10023877568,20602454496|"Entidad:ESTABLECIMIENTO DE SALUD MUNICIPAL - AREQUIPA POSTOR:MAMANI MONTEAGUDO ANA MARIA,""INVERSIONES MABMEVA E.I.R.L."""|17/01/2024|09:35:01|17/01/2024|17/01/2024|10:39:35|APROBADO|534633 Ver...|
1560|12265-2023-TCE|534634|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131257750Impugnate:20100061474|Entidad:SEGURO SOCIAL DE SALUD Impugnate:REPRESENTACIONES DECO S.A.C|17/01/2024|09:38:27|17/01/2024|17/01/2024|16:12:49|APROBADO|534634 Ver...|
1561|03070-2018-TCE|534635|Isabel Alejandra Melgar Romani|Tómese conocimiento|Entidad:12452,20600927818POSTOR:20502455606|Entidad:PROCURADURÍA PÚBLICA DEL MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES POSTOR:ALPACA COLOR S.A.C (LOPEZ RIOS LUIS ALFONSO)|17/01/2024|09:38:35|17/01/2024|18/01/2024|10:22:13|APROBADO|534635 Ver...|
1561|03070-2018-TCE|534635|Isabel Alejandra Melgar Romani|Tómese conocimiento|Entidad:12452,20600927818POSTOR:20502455606|Entidad:PROCURADURÍA PÚBLICA DEL MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES POSTOR:ALPACA COLOR S.A.C (LOPEZ RIOS LUIS ALFONSO)|17/01/2024|09:38:35|17/01/2024|18/01/2024|10:22:13|APROBADO|534635 Ver...|
1562|12284-2023-TCE|534636|Lita Tumi Carpio|Remisión a sala|Entidad:20178186869Impugnate:10415108171|Entidad:MUNICIPALIDAD DISTRITAL DE LAREDO Impugnate:ANTICONA PONCE AMADO PAUL|17/01/2024|09:43:28|17/01/2024|17/01/2024|16:13:12|APROBADO|534636 Ver...|
1563|12330-2023-TCE|534637|Lita Tumi Carpio|Remisión a sala por vencto.de plazo, conocimiento al OCI|Entidad:000000,20314801327Impugnate:20551771122|"Entidad:OCI - INSTITUTO REGIONAL DE OFTALMOLOGIA ""JAVIER SERVAT UNIVAZO"",GOBIERNO REGIONAL DE LA LIBERTAD-INSTITUTO REGIONAL DE OFTALMOLOGIA Impugnate:SOLUCIONES Y SOPORTES TECNICOS S.A.C. S Y ST S.A.C."|17/01/2024|09:47:03|17/01/2024|17/01/2024|16:13:20|APROBADO|534637 Ver...|
1564|00018-2024-TCE|534638|Lita Tumi Carpio|Remisión a sala por vencto.de plazo, conocimiento al OCI|Entidad:20452393817Impugnate:20527236801|Entidad:GOBIERNO REGIONAL DE ICA SEDE CENTRAL Impugnate:CONSORCIO OH INGENIEROS, conformado por la empresa A & R CONSULTORES GENERALES SOCIEDAD ANONIMA CERRADA y el señor TATAJ|17/01/2024|09:50:13|17/01/2024|17/01/2024|16:13:32|APROBADO|534638 Ver...|
1565|00019-2024-TCE|534639|Lita Tumi Carpio|Remisión a sala|Entidad:20406325815Impugnate:20406444407|Entidad:GOBIERNO REGIONAL DE PUNO SEDE CENTRAL Impugnate:CONSA CONTRATISTAS EMPRESA INDIVIUDAL DE RESPONSAB. LTDA.|17/01/2024|09:54:54|17/01/2024|17/01/2024|16:13:43|APROBADO|534639 Ver...|
1566|11858-2023-TCE|534640|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20125645039Impugnate:20516935317|Entidad:PATRONATO DEL PARQUE DE LAS LEYENDAS - FELIPE BENAVIDES BARREDA Impugnate:GLOBAL SERVICIO INTEGRAL MEDICO SOCIEDAD ANONIMA|17/01/2024|09:57:15|17/01/2024|17/01/2024|10:15:01|APROBADO|534640 Ver...|
1567|11814-2023-TCE|534641|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20552196725Impugnate:20471476898|Entidad:INSTITUTO NACIONAL DE SALUD DEL NIÑO - SAN BORJA Impugnate:MULTIMEDICAL SUPPLIES SAC|17/01/2024|09:58:33|17/01/2024|17/01/2024|10:34:48|APROBADO|534641 Ver...|
1568|12207-2023-TCE|534642|Lita Tumi Carpio|Remisión a sala|Entidad:20131023414Impugnate:20608165631|Entidad:MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO Impugnate:CONSORCIO CHT Y NEGLIAF, conformado por las empresas CHT GLOBAL GROUP S.A.C. y NEGOCIOS DE LIMPIEZA Y AFINES SOCIEDAD CO|17/01/2024|09:59:42|17/01/2024|17/01/2024|16:13:58|APROBADO|534642 Ver...|
1569|04875-2019-TCE|534643|Renato Armando Alonso Cjahua Alvites|Sobrecártese|Entidad:20503503639POSTOR:20109565017|Entidad: PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL ? PROVIAS NACIONAL POSTOR:CONSTRUCCION Y ADMINISTRACION S.A.|17/01/2024|10:00:40|17/01/2024|17/01/2024|11:00:12|APROBADO|534643 Ver...|
1570|12207-2023-TCE|534644|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131023414Impugnate:20608165631|Entidad:MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO Impugnate:CONSORCIO CHT Y NEGLIAF, conformado por las empresas CHT GLOBAL GROUP S.A.C. y NEGOCIOS DE LIMPIEZA Y AFINES SOCIEDAD CO|17/01/2024|10:04:51|17/01/2024|17/01/2024|16:13:53|APROBADO|534644 Ver...|
1571|12218-2023-TCE|534645|Lita Tumi Carpio|Remisión a sala|Entidad:20131257750Impugnate:20501887286|Entidad:SEGURO SOCIAL DE SALUD Impugnate:DIAGNOSTICA PERUANA S.A.C.|17/01/2024|10:09:58|17/01/2024|17/01/2024|16:14:23|APROBADO|534645 Ver...|
1572|11800-2023-TCE|534646|Angie Solis Zevalles|Déjese a consideración de la Sala|Entidad:20200557159Impugnate:20490197771|Entidad:MUNICIPALIDAD PROVINCIAL DE PAUCARTAMBO Impugnate:CONSORCIO GLOBAL CONSTRUCTOR, conformado por las empresas DJL GLOBAL CONSTRUCTORES SOCIEDAD ANONIMA CERRADA - DJL CONSTR|17/01/2024|10:17:57|17/01/2024|17/01/2024|17:32:13|APROBADO|534646 Ver...|
1573|11625-2023-TCE|534647|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20454157592Impugnate:20189254602|Entidad:GOBIERNO REGIONAL DE AREQUIPA - SALUD RED PERIFERICA AREQUIPA Impugnate:DISEÑOS FLORES SOCIEDAD DE RESPONSABILIDAD LIMITADA|17/01/2024|10:21:27|17/01/2024|17/01/2024|19:33:48|APROBADO|534647 Ver...|
1574|12218-2023-TCE|534648|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131257750Impugnate:20501887286|Entidad:SEGURO SOCIAL DE SALUD Impugnate:DIAGNOSTICA PERUANA S.A.C.|17/01/2024|10:21:32|17/01/2024|17/01/2024|16:14:09|APROBADO|534648 Ver...|
1575|11766-2023-TCE|534649|Angie Solis Zevalles|Déjese a consideración de la Sala|Entidad:20131377810Impugnate:20418896915|Entidad:SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION Impugnate:MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS|17/01/2024|10:24:42|17/01/2024|17/01/2024|17:32:40|APROBADO|534649 Ver...|
1576|12218-2023-TCE|534650|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131257750Impugnate:20501887286|Entidad:SEGURO SOCIAL DE SALUD Impugnate:DIAGNOSTICA PERUANA S.A.C.|17/01/2024|10:26:07|17/01/2024|17/01/2024|16:14:16|APROBADO|534650 Ver...|
1577|11766-2023-TCE|534651|Angie Solis Zevalles|Déjese a consideración de la Sala|Entidad:20131377810Impugnate:20418896915|Entidad:SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION Impugnate:MAPFRE PERU COMPAÑIA DE SEGUROS Y REASEGUROS|17/01/2024|10:27:44|17/01/2024|17/01/2024|17:34:19|APROBADO|534651 Ver...|
1578|11705-2023-TCE|534652|Karmen Giuliana Bustamante Barreto|Listo para resolver|Entidad:20131257750Impugnate:20603052294|Entidad:SEGURO SOCIAL DE SALUD Impugnate:CONSORCIO conformado por las empresas MARIO ANSELMO DE LOS SANTOS SERVICIOS Y TECNOLOGÍA E.I.R.L. - MASSERTEC E.I.R.L. y|17/01/2024|10:29:26|17/01/2024|17/01/2024|19:33:44|APROBADO|534652 Ver...|
1579|12221-2023-TCE|534653|Lita Tumi Carpio|Remisión a sala por vencto.de plazo, conocimiento al OCI|Entidad:20131369124Impugnate:20600224922|Entidad:EJERCITO PERUANO Impugnate:J & E INVERSIONES PACIFICO S.A.C.|17/01/2024|10:29:29|17/01/2024|17/01/2024|16:14:32|APROBADO|534653 Ver...|
1580|12117-2023-TCE|534654|Angie Solis Zevalles|Audiencia pública|Entidad:20144329148Impugnate:20537139120|Entidad:INSTITUTO NACIONAL MATERNO PERINATAL Impugnate:DELTALAB PERU S.A.C.|17/01/2024|10:30:17|17/01/2024|17/01/2024|17:36:16|APROBADO|534654 Ver...|
1581|04981-2019-TCE|534655|Marlene Violeta Vilca Alvarado|Remisión a sala|Entidad:20175975234POSTOR:20118271107,20391712361,20480467893,20517623394,20539232089|Entidad:MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE POSTOR:COLESI CONSTRUCCIONES SOCIEDAD ANONIMA - COLESI CONSTRUCCIONES S.A.,J B R CONTRATISTAS S.R.L.,RAMCA CONTRATISTAS SAC,CORPORACION XIANY SOCIEDAD ANONIMA CERRADA,CONSULTORES Y EJECUTORES NAYLAMP S.A.C.|17/01/2024|10:32:45|17/01/2024|||PENDIENTE|534655 Ver...|
1582|12222-2023-TCE|534656|Lita Tumi Carpio|Remisión a sala por vencto.de plazo, conocimiento al OCI|Entidad:20498390570Impugnate:20123704585|Entidad:GOBIERNO REGIONAL DE AREQUIPA Sede Central Impugnate:RINAIT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|17/01/2024|10:32:47|17/01/2024|17/01/2024|16:14:49|APROBADO|534656 Ver...|
1583|12222-2023-TCE|534657|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20498390570Impugnate:20123704585|Entidad:GOBIERNO REGIONAL DE AREQUIPA Sede Central Impugnate:RINAIT SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA|17/01/2024|10:36:54|17/01/2024|17/01/2024|16:14:41|APROBADO|534657 Ver...|
1584|11725-2023-TCE|534658|Angie Solis Zevalles|Déjese a consideración de la Sala|Entidad:20154477021Impugnate:20601021642|Entidad:MUNICIPALIDAD PROVINCIAL DE SULLANA Impugnate:INVERSIONES CHISAL S.R.L.|17/01/2024|10:37:04|17/01/2024|17/01/2024|17:37:04|APROBADO|534658 Ver...|
1585|11754-2023-TCE|534659|Angie Solis Zevalles|Listo para resolver|Entidad:20405479592Impugnate:20448870708|Entidad:EMPRESA DE SERVICIOS PUBLICOS DE ELECTRICIDAD PUNO S.A.A. Impugnate:CONSORCIO SINERGIA, conformado por la empresa HOLCAR INGENIEROS ESTRUCTURAS Y PROYECTOS SOCIEDAD ANONIMA CERRADA y el se|17/01/2024|10:41:34|17/01/2024|17/01/2024|17:37:49|APROBADO|534659 Ver...|
1586|12223-2023-TCE|534660|Lita Tumi Carpio|Remisión a sala|Entidad:20131369124Impugnate:20600224922|Entidad:EJERCITO PERUANO Impugnate:J & E INVERSIONES PACIFICO S.A.C.|17/01/2024|10:41:44|17/01/2024|17/01/2024|16:15:05|APROBADO|534660 Ver...|
1587|11725-2023-TCE|534661|Angie Solis Zevalles|Listo para resolver|Entidad:20154477021Impugnate:20601021642|Entidad:MUNICIPALIDAD PROVINCIAL DE SULLANA Impugnate:INVERSIONES CHISAL S.R.L.|17/01/2024|10:44:08|17/01/2024|17/01/2024|17:38:21|APROBADO|534661 Ver...|
1588|02984-2022-TCE|534662|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131380951POSTOR:20604420165|Entidad:MUNICIPALIDAD METROPOLITANA DE LIMA POSTOR:GRUPO TACTICO ALLIONS S.A.C.|17/01/2024|10:44:36|17/01/2024|17/01/2024|19:33:40|APROBADO|534662 Ver...|
1589|12223-2023-TCE|534663|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131369124Impugnate:20600224922|Entidad:EJERCITO PERUANO Impugnate:J & E INVERSIONES PACIFICO S.A.C.|17/01/2024|10:49:00|17/01/2024|17/01/2024|16:14:59|APROBADO|534663 Ver...|
1590|11833-2023-TCE|534664|Angie Solis Zevalles|Listo para resolver|Entidad:20131367423Impugnate:20297566866|Entidad:MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO Impugnate:PETRAMAS S.A.C.|17/01/2024|10:52:41|17/01/2024|17/01/2024|18:28:00|APROBADO|534664 Ver...|
1591|12229-2023-TCE|534665|Lita Tumi Carpio|Remisión a sala|Entidad:20452393817Impugnate:20508390794|Entidad:GOBIERNO REGIONAL DE ICA SEDE CENTRAL Impugnate:FUMINSAC|17/01/2024|10:53:46|17/01/2024|17/01/2024|16:15:17|APROBADO|534665 Ver...|
1591|12229-2023-TCE|534665|Lita Tumi Carpio|Remisión a sala|Entidad:20452393817Impugnate:20508390794|Entidad:GOBIERNO REGIONAL DE ICA SEDE CENTRAL Impugnate:FUMINSAC|17/01/2024|10:53:46|17/01/2024|17/01/2024|16:15:17|APROBADO|534665 Ver...|
1592|12262-2023-TCE|534666|Lita Tumi Carpio|Remisión a sala|Entidad:20131367423Impugnate:20100664179|Entidad:MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO Impugnate:CADILLO EDITORIAL IMPRENTA S.R.L.|17/01/2024|10:57:33|17/01/2024|17/01/2024|16:15:40|APROBADO|534666 Ver...|
1593|12262-2023-TCE|534667|Lita Tumi Carpio|Apersonamiento de tercero|Entidad:20131367423Impugnate:20100664179|Entidad:MUNICIPALIDAD DISTRITAL DE SANTIAGO DE SURCO Impugnate:CADILLO EDITORIAL IMPRENTA S.R.L.|17/01/2024|11:01:15|17/01/2024|17/01/2024|16:15:35|APROBADO|534667 Ver...|
1594|11748-2023-TCE|534668|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131257750Impugnate:20537758377|Entidad:SEGURO SOCIAL DE SALUD Impugnate:ICU MEDICAL PERU S.R.L.|17/01/2024|11:09:03|17/01/2024|17/01/2024|19:33:35|APROBADO|534668 Ver...|
1595|00081-2023-TCE|534670|Claudia del Pilar Castro Aponte|Remisión a sala - Apercibimiento|Entidad:20102708394POSTOR:10434567314|Entidad:EMPRESA DE SERVICIO PUBLICO DE ELECTRICIDAD DEL NOR OESTE DEL PERU S.A. ELECTRO NOR OESTE SA POSTOR:GONZALEZ CAPUÑAY KAROL JOSEF|17/01/2024|11:12:51|17/01/2024|22/01/2024|12:56:10|APROBADO|534670 Ver...|
1596|11748-2023-TCE|534671|Karmen Giuliana Bustamante Barreto|Déjese a consideración de la Sala|Entidad:20131257750Impugnate:20537758377|Entidad:SEGURO SOCIAL DE SALUD Impugnate:ICU MEDICAL PERU S.R.L.|17/01/2024|11:15:53|17/01/2024|17/01/2024|19:33:30|APROBADO|534671 Ver...|
1597|01037-2022-TCE|534672|Claudia del Pilar Castro Aponte|Remisión a sala - Apercibimiento|Entidad:20145496170POSTOR:10409345366|Entidad:UNIVERSIDAD NACIONAL DEL ALTIPLANO POSTOR:HANCCO CHARA VIRGINIA|17/01/2024|11:17:01|17/01/2024|23/01/2024|09:32:40|APROBADO|534672 Ver...|
